z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
55,0.005482130923756654,336,mozjpeg-max-420,41.36904761904761,56,4,126,5,16.666666666666664,1.1904761904761905,37.5,1.488095238095238,41.36904761904761,1.7857142857142856,59678.630952380954,63632.13392857143,54906.392857142855,66312.71428571429,17.857142857142854,82.14285714285715
56,0.005342020114739919,336,mozjpeg-max-420,42.26190476190476,55,4,127,4,16.36904761904762,1.1904761904761905,37.797619047619044,1.1904761904761905,42.26190476190476,1.1904761904761905,60893.669642857145,65006.37202380953,56136.43452380953,67634.41071428571,17.55952380952381,82.44047619047619
57,0.005205490219618958,336,mozjpeg-max-420,43.154761904761905,52,3,128,4,15.476190476190476,0.8928571428571428,38.095238095238095,1.1904761904761905,43.154761904761905,1.1904761904761905,62011.57738095238,66329.26190476191,57044.02976190476,68781.91666666667,16.36904761904762,83.63095238095238
58,0.005072449718371731,336,mozjpeg-max-420,43.154761904761905,52,3,127,5,15.476190476190476,0.8928571428571428,37.797619047619044,1.488095238095238,43.154761904761905,1.1904761904761905,63116.479166666664,67136.37611940298,57887.77976190476,69840.42261904762,16.36904761904762,83.63095238095238
59,0.004942809430019998,336,mozjpeg-max-420,44.94047619047619,48,2,125,6,14.285714285714285,0.5952380952380952,37.202380952380956,1.7857142857142856,44.94047619047619,1.1904761904761905,64124.77380952381,68091.41492537313,59084.068452380954,71011.62985074626,14.88095238095238,85.11904761904762
60,0.004816482452848669,336,mozjpeg-max-420,46.42857142857143,44,1,127,4,13.095238095238097,0.2976190476190476,37.797619047619044,1.1904761904761905,46.42857142857143,1.1904761904761905,67162.95833333333,69105.21791044775,59789.09821428572,72301.86268656717,13.392857142857144,86.60714285714285
61,0.00469338410615302,336,mozjpeg-max-420,46.13095238095239,42,4,127,4,12.5,1.1904761904761905,37.797619047619044,1.1904761904761905,46.13095238095239,1.1904761904761905,68333.65773809524,70420.49253731343,60934.77976190476,73190.39402985075,13.69047619047619,86.30952380952381
62,0.004573431873474716,336,mozjpeg-max-420,45.83333333333333,43,3,129,4,12.797619047619047,0.8928571428571428,38.392857142857146,1.1904761904761905,45.83333333333333,0.8928571428571428,69686.54626865672,71421.06268656717,61936.15773809524,74305.73134328358,13.69047619047619,86.3095238095238
63,0.0044565453472885895,336,mozjpeg-max-420,44.047619047619044,49,3,130,2,14.583333333333334,0.8928571428571428,38.69047619047619,0.5952380952380952,44.047619047619044,1.1904761904761905,70584.0776119403,73033.51641791045,63038.744047619046,75819.39701492537,15.476190476190476,84.52380952380952
64,0.004342646175103098,336,mozjpeg-max-420,46.726190476190474,46,2,125,4,13.690476190476192,0.5952380952380952,37.202380952380956,1.1904761904761905,46.726190476190474,0.5952380952380952,72112.69552238807,74003.74029850746,65026.244047619046,77060.41916167665,14.285714285714286,85.71428571428572
65,0.004231658006938341,336,mozjpeg-max-420,47.61904761904761,39,3,128,4,11.607142857142858,0.8928571428571428,38.095238095238095,1.1904761904761905,47.61904761904761,0.5952380952380952,73715.32835820895,72936.64071856288,66062.40476190476,78686.3263473054,12.5,87.5
66,0.004123506444146406,336,mozjpeg-max-420,48.51190476190476,34,5,129,2,10.119047619047619,1.488095238095238,38.392857142857146,0.5952380952380952,48.51190476190476,0.8928571428571428,75213.54029850746,74302.7365269461,66834.55952380953,80164.00299401197,11.607142857142856,88.39285714285714
67,0.0040181189895397654,336,mozjpeg-max-420,48.214285714285715,36,3,130,3,10.714285714285714,0.8928571428571428,38.69047619047619,0.8928571428571428,48.214285714285715,0.5952380952380952,76624.2567164179,75493.91616766468,68481.62797619047,81756.14371257485,11.607142857142856,88.39285714285715
68,0.003915424998794258,336,mozjpeg-max-420,48.214285714285715,38,3,129,2,11.30952380952381,0.8928571428571428,38.392857142857146,0.5952380952380952,48.214285714285715,0.5952380952380952,77638.1104477612,77006.52095808383,69433.69940476191,83004.58083832335,12.202380952380953,87.79761904761907
