z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
72,3.2376225442392883,336,jpegli-420,57.44047619047619,193,95,23,0,57.44047619047619,28.273809523809522,6.845238095238096,0.0,5.952380952380952,1.488095238095238,74999.87542087543,79821.85714285714,93178.15986394558,116648.1329305136,85.71428571428571,14.285714285714285
73,3.1922604721586194,336,jpegli-420,62.202380952380956,209,87,18,0,62.202380952380956,25.892857142857146,5.357142857142857,0.0,5.357142857142857,1.1904761904761905,77495.42760942761,80835.85373134329,92946.55136986301,118714.31419939577,88.0952380952381,11.904761904761903
74,3.1475339644636495,336,jpegli-420,61.011904761904766,205,92,16,0,61.011904761904766,27.380952380952383,4.761904761904762,0.0,5.654761904761905,1.1904761904761905,78581.57432432432,82717.99701492538,95827.01384083045,121215.59516616314,88.39285714285715,11.607142857142858
75,3.1034341163122954,336,jpegli-420,60.416666666666664,203,97,14,0,60.416666666666664,28.869047619047617,4.166666666666666,0.0,5.357142857142857,1.1904761904761905,80288.6406779661,84228.7104477612,98755.71875,122302.1094224924,89.28571428571428,10.714285714285712
76,3.0599521476275107,336,jpegli-420,63.095238095238095,212,95,10,0,63.095238095238095,28.273809523809522,2.976190476190476,0.0,4.464285714285714,1.1904761904761905,78337.12286689419,85884.22985074627,101244.31597222222,122173.41896024464,91.36904761904762,8.63095238095238
77,3.01707940134921,336,jpegli-420,62.202380952380956,209,101,9,0,62.202380952380956,30.059523809523807,2.6785714285714284,0.0,3.869047619047619,1.1904761904761905,79149.06185567011,87098.65074626866,103742.62847222222,121829.64307692308,92.26190476190476,7.738095238095238
78,2.97480734171069,336,jpegli-420,59.82142857142857,201,106,11,0,59.82142857142857,31.547619047619047,3.273809523809524,0.0,3.869047619047619,1.488095238095238,81191.29411764706,88517.00597014926,100364.84965034966,125652.80864197531,91.36904761904762,8.630952380952381
79,2.9331275525391916,336,jpegli-420,58.333333333333336,196,110,13,0,58.333333333333336,32.73809523809524,3.869047619047619,0.0,3.571428571428571,1.488095238095238,82938.72822299652,90250.30149253731,98752.06382978724,128260.34267912773,91.07142857142858,8.928571428571427
80,2.8920317355802876,336,jpegli-420,57.738095238095234,194,110,13,0,57.738095238095234,32.73809523809524,3.869047619047619,0.0,3.869047619047619,1.7857142857142856,85548.00348432055,91856.90746268656,100614.36785714286,130866.507788162,90.47619047619048,9.523809523809524
81,2.851511708845733,336,jpegli-420,58.92857142857143,198,108,11,0,58.92857142857143,32.142857142857146,3.273809523809524,0.0,3.869047619047619,1.7857142857142856,87768.55281690141,93343.8328358209,99991.35018050541,132328.978125,91.07142857142858,8.928571428571429
